phenomenon;sentence_good;sentence_bad
EMBEDDED V3 CL.;Katrin framförde att när det blir natt köper Niklas datorer i affären;Katrin framförde att när det blir natt Niklas köper datorer i affären
EMBEDDED V3 CL.;Niklas poängterade att när det blir oktober säljer Sara telefoner till bonden;Niklas poängterade att när det blir oktober Sara säljer telefoner till bonden
EMBEDDED V3 CL.;Sara konstaterade att när det blir sommar öppnar Viola skor i väskan;Sara konstaterade att när det blir sommar Viola öppnar skor i väskan
EMBEDDED V3 CL.;Viola bekräftade att när det blir julafton kastar Flora jackor med handsken;Viola bekräftade att när det blir julafton Flora kastar jackor med handsken
EMBEDDED V3 CL.;Flora förnekade att när det blir högsäsong firar Anna mössor utan snäckan;Flora förnekade att när det blir högsäsong Anna firar mössor utan snäckan
EMBEDDED V3 CL.;Anna medgav att när det blir afton läser Sofie böcker i maskinen;Anna medgav att när det blir afton Sofie läser böcker i maskinen
EMBEDDED V3 CL.;Sofie upprepade att när det blir tisdag skrapar Murat pennor mot pärmen;Sofie upprepade att när det blir tisdag Murat skrapar pennor mot pärmen
EMBEDDED V3 CL.;Murat påpekade att när det blir måndag ritar Nils hundar på tavlan;Murat påpekade att när det blir måndag Nils ritar hundar på tavlan
EMBEDDED V3 CL.;Muhammed menade att när det blir vår bygger Ahmed hus under marken;Muhammed menade att när det blir vår Ahmed bygger hus under marken
EMBEDDED V3 CL.;Ahmed inflikade att när det blir höst river Mats fåglar med kompassen;Ahmed inflikade att när det blir höst Mats river fåglar med kompassen
EMBEDDED V3 CL.;Mats bedyrade att när det blir jul kastar Eva fiskar efter nappen;Mats bedyrade att när det blir jul Eva kastar fiskar efter nappen
EMBEDDED V3 CL.;Eva påstod att när det blir möte köper Fredrik blommor från lådan;Eva påstod att när det blir möte Fredrik köper blommor från lådan
EMBEDDED V3 CL.;Fredrik menade att när det blir kväll bär Johan träd genom skogen;Fredrik menade att när det blir kväll Johan bär träd genom skogen
EMBEDDED V3 CL.;Johan påpekade att när det blir morgon glömmer Meriem ringar på torget;Johan påpekade att när det blir morgon Meriem glömmer ringar på torget
EMBEDDED V3 CL.;Meriem påstod att när det blir eftermiddag hämtar Beata skålar från floden;Meriem påstod att när det blir eftermiddag Beata hämtar skålar från floden
EMBEDDED V3 CL.;Beata menade att när det blir natt kastar Joakim fiskar åt männen;Beata menade att när det blir natt Joakim kastar fiskar åt männen
EMBEDDED V3 CL.;Joakim bedyrade att när det blir oktober sparkar Robert berg kring hatten;Joakim bedyrade att när det blir oktober Robert sparkar berg kring hatten
EMBEDDED V3 CL.;Robert antydde att när det blir sommar lyfter Emanuel stenar runt skärmen;Robert antydde att när det blir sommar Emanuel lyfter stenar runt skärmen
EMBEDDED V3 CL.;Emanuel resonerade att när det blir julafton flyttar Tobias vägar mellan bergen;Emanuel resonerade att när det blir julafton Tobias flyttar vägar mellan bergen
EMBEDDED V3 CL.;Tobias påstod att när det blir högsäsong fyller Daniel flaskor bakom tinget;Tobias påstod att när det blir högsäsong Daniel fyller flaskor bakom tinget
EMBEDDED V3 CL.;Daniel menade att när det blir afton tömmer Torgny hus framför asken;Daniel menade att när det blir afton Torgny tömmer hus framför asken
EMBEDDED V3 CL.;Torgny menade att när det blir tisdag håller Erik mat framför påsen;Torgny menade att när det blir tisdag Erik håller mat framför påsen
EMBEDDED V3 CL.;Erik medgav att när det blir måndag släpper Ulla fönster på piskan;Erik medgav att när det blir måndag Ulla släpper fönster på piskan
EMBEDDED V3 CL.;Ulla kommenterade att när det blir vår stänger Anders dörrar från pjäsen;Ulla kommenterade att när det blir vår Anders stänger dörrar från pjäsen
EMBEDDED V3 CL.;Anders erkände att när det blir höst slänger Kristina lampor på taket;Anders erkände att när det blir höst Kristina slänger lampor på taket
EMBEDDED V3 CL.;Kristina påstod att när det blir jul använder Klara olja i motorn;Kristina påstod att när det blir jul Klara använder olja i motorn
EMBEDDED V3 CL.;Klara förtydligade att när det blir möte hittar Olle klockor till tröjan;Klara förtydligade att när det blir möte Olle hittar klockor till tröjan
EMBEDDED V3 CL.;Olle beskrev att när det blir kväll tappar Helga lampor på spiken;Olle beskrev att när det blir kväll Helga tappar lampor på spiken
EMBEDDED V3 CL.;Helga rapporterade att när det blir morgon lagar Karl soffor med skruvmejseln;Helga rapporterade att när det blir morgon Karl lagar soffor med skruvmejseln
EMBEDDED V3 CL.;Karl menade att när det blir eftermiddag ser Uma sängar utan tvålen;Karl menade att när det blir eftermiddag Uma ser sängar utan tvålen
EMBEDDED V3 CL.;Uma påstod att när det blir natt hör Alba mattor i västen;Uma påstod att när det blir natt Alba hör mattor i västen
EMBEDDED V3 CL.;Alba förutsatte att när det blir oktober stänger Rune pannor med kartan;Alba förutsatte att när det blir oktober Rune stänger pannor med kartan
EMBEDDED V3 CL.;Rune föreslog att när det blir sommar använder Iris grytor vid parfymen;Rune föreslog att när det blir sommar Iris använder grytor vid parfymen
EMBEDDED V3 CL.;Iris bestyrkte att när det blir julafton lagar Vive spisar under spaden;Iris bestyrkte att när det blir julafton Vive lagar spisar under spaden
EMBEDDED V3 CL.;Vive förutspådde att när det blir högsäsong glömmer Dick ugnar på tunnan;Vive förutspådde att när det blir högsäsong Dick glömmer ugnar på tunnan
EMBEDDED V3 CL.;Dick förutsåg att när det blir afton minns Runar knivar efter fiolen;Dick förutsåg att när det blir afton Runar minns knivar efter fiolen
EMBEDDED V3 CL.;Runar förmodade att när det blir tisdag använder Janice gafflar på jackan;Runar förmodade att när det blir tisdag Janice använder gafflar på jackan
EMBEDDED V3 CL.;Janice misstänkte att när det blir måndag hatar Elias skedar bakom stöveln;Janice misstänkte att när det blir måndag Elias hatar skedar bakom stöveln
EMBEDDED V3 CL.;Elias menade att när det blir vår glömmer Pontus glas i skogen;Elias menade att när det blir vår Pontus glömmer glas i skogen
EMBEDDED V3 CL.;Pontus påstod att när det blir höst tömmer Albin flaskor hos männen;Pontus påstod att när det blir höst Albin tömmer flaskor hos männen
EMBEDDED V3 CL.;Albin antog att när det blir jul behöver Nico koppar åt kikaren;Albin antog att när det blir jul Nico behöver koppar åt kikaren
EMBEDDED V3 CL.;Nico menade att när det blir möte använder Josefin tallrikar kring vispen;Nico menade att när det blir möte Josefin använder tallrikar kring vispen
EMBEDDED V3 CL.;Josefin påstod att när det blir kväll missar Nicole påsar på gården;Josefin påstod att när det blir kväll Nicole missar påsar på gården
EMBEDDED V3 CL.;Nicole påstod att när det blir morgon läser Hanna lådor i grytan;Nicole påstod att när det blir morgon Hanna läser lådor i grytan
EMBEDDED V3 CL.;Hanna berättade att när det blir eftermiddag ställer Fanny slevar bakom hyllan;Hanna berättade att när det blir eftermiddag Fanny ställer slevar bakom hyllan
EMBEDDED V3 CL.;Fanny inflikade att när det blir natt söver Ida djur framför mattan;Fanny inflikade att när det blir natt Ida söver djur framför mattan
EMBEDDED V3 CL.;Ida menade att när det blir oktober tvättar Maj bokstäver bredvid plånboken;Ida menade att när det blir oktober Maj tvättar bokstäver bredvid plånboken
EMBEDDED V3 CL.;Maj inflikade att när det blir sommar städar Majken ord på stolen;Maj inflikade att när det blir sommar Majken städar ord på stolen
EMBEDDED V3 CL.;Majken påstod att när det blir julafton lagar Linn majs från hinken;Majken påstod att när det blir julafton Linn lagar majs från hinken
EMBEDDED V3 CL.;Linn tillkännagav att när det blir högsäsong väcker Alexander texter på pärlan;Linn tillkännagav att när det blir högsäsong Alexander väcker texter på pärlan
EMBEDDED V3 CL.;Alexander menade att när det blir afton ritar Erika bilder på plankan;Alexander menade att när det blir afton Erika ritar bilder på plankan
EMBEDDED V3 CL.;Erika tillstod att när det blir tisdag gräddar Sandra målningar till väven;Erika tillstod att när det blir tisdag Sandra gräddar målningar till väven
EMBEDDED V3 CL.;Sandra bedyrade att när det blir måndag skjuter Kristin teckningar på spisen;Sandra bedyrade att när det blir måndag Kristin skjuter teckningar på spisen
EMBEDDED V3 CL.;Kristin framhöll att när det blir vår slår Christine filmer med tavlan;Kristin framhöll att när det blir vår Christine slår filmer med tavlan
EMBEDDED V3 CL.;Christine uttryckte att när det blir höst sjunger Caroline sånger i rutan;Christine uttryckte att när det blir höst Caroline sjunger sånger i rutan
EMBEDDED V3 CL.;Caroline fastslog att när det blir jul det Ingrid visor om borsten;Caroline fastslog att när det blir jul Ingrid det visor om borsten
EMBEDDED V3 CL.;Ingrid förkunnade att när det blir möte smeker Inger musiker mot saxen;Ingrid förkunnade att när det blir möte Inger smeker musiker mot saxen
EMBEDDED V3 CL.;Inger proklamerade att när det blir kväll använder Aina ljud vid frimärket;Inger proklamerade att när det blir kväll Aina använder ljud vid frimärket
EMBEDDED V3 CL.;Aina deklarerade att när det blir morgon slänger Ebba dofter under dörren;Aina deklarerade att när det blir morgon Ebba slänger dofter under dörren
EMBEDDED V3 CL.;Ebba försäkrade att när det blir eftermiddag häller Ellen sirap över klockan;Ebba försäkrade att när det blir eftermiddag Ellen häller sirap över klockan
EMBEDDED V3 CL.;Ellen förklarade att när det blir natt beställer Helena känslor ifrån nyckeln;Ellen förklarade att när det blir natt Helena beställer känslor ifrån nyckeln
EMBEDDED V3 CL.;Helena förklarade att när det blir oktober avbeställer Kerstin breven från bryggan;Helena förklarade att när det blir oktober Kerstin avbeställer breven från bryggan
EMBEDDED V3 CL.;Kerstin påstod att när det blir sommar samlar Adam idéer på stigen;Kerstin påstod att när det blir sommar Adam samlar idéer på stigen
EMBEDDED V3 CL.;Adam menade att när det blir julafton sprider Magdalena drömmar i trädgården;Adam menade att när det blir julafton Magdalena sprider drömmar i trädgården
EMBEDDED V3 CL.;Magdalena hävdade att när det blir högsäsong delar Alice minnen med psykologen;Magdalena hävdade att när det blir högsäsong Alice delar minnen med psykologen
EMBEDDED V3 CL.;Alice påpekade att när det blir afton läser Josef historier på skivan;Alice påpekade att när det blir afton Josef läser historier på skivan
EMBEDDED V3 CL.;Josef påpekade att när det blir tisdag översätter John berättelser på bänken;Josef påpekade att när det blir tisdag John översätter berättelser på bänken
EMBEDDED V3 CL.;John påstod att när det blir måndag löser Christel problem hos väggen;John påstod att när det blir måndag Christel löser problem hos väggen
EMBEDDED V3 CL.;Christel hävdade att när det blir vår beskriver Ann-Katrin svar för männen;Christel hävdade att när det blir vår Ann-Katrin beskriver svar för männen
EMBEDDED V3 CL.;Ann-Katrin menade att när det blir höst förmedlar Anna-Lena lösningar bakom huset;Ann-Katrin menade att när det blir höst Anna-Lena förmedlar lösningar bakom huset
EMBEDDED V3 CL.;Anna-Lena svarade att när det blir jul anmäler Nada problem hos domaren;Anna-Lena svarade att när det blir jul Nada anmäler problem hos domaren
EMBEDDED V3 CL.;Nada berättade att när det blir möte avslutar Linda uppgifter bredvid bordet;Nada berättade att när det blir möte Linda avslutar uppgifter bredvid bordet
EMBEDDED V3 CL.;Linda förklarade att när det blir kväll påbörjar Maria arbeten med skylten;Linda förklarade att när det blir kväll Maria påbörjar arbeten med skylten
EMBEDDED V3 CL.;Maria invände att när det blir morgon inleder Ted projekt från trumman;Maria invände att när det blir morgon Ted inleder projekt från trumman
EMBEDDED V3 CL.;Ted antydde att när det blir eftermiddag avbryter Tobias planer på skruven;Ted antydde att när det blir eftermiddag Tobias avbryter planer på skruven
EMBEDDED V3 CL.;Tobias menade att när det blir natt stänger Björn resor i klubban;Tobias menade att när det blir natt Björn stänger resor i klubban
EMBEDDED V3 CL.;Björn konstaterade att när det blir oktober hämtar Tryggve väskor till växeln;Björn konstaterade att när det blir oktober Tryggve hämtar väskor till växeln
EMBEDDED V3 CL.;Tryggve underströk att när det blir sommar lagar Maude bilar med brickan;Tryggve underströk att när det blir sommar Maude lagar bilar med brickan
EMBEDDED V3 CL.;Maude bekräftade att när det blir julafton förstör Adina cyklar med datorn;Maude bekräftade att när det blir julafton Adina förstör cyklar med datorn
EMBEDDED V3 CL.;Adina erkände att när det blir högsäsong tar Freja tåg utan skärmen;Adina erkände att när det blir högsäsong Freja tar tåg utan skärmen
EMBEDDED V3 CL.;Freja medgav att när det blir afton låser Otis båtar om pinnen;Freja medgav att när det blir afton Otis låser båtar om pinnen
EMBEDDED V3 CL.;Otis proklamerade att när det blir tisdag packar Ylva flygplan mot lappen;Otis proklamerade att när det blir tisdag Ylva packar flygplan mot lappen
EMBEDDED V3 CL.;Ylva tillade att när det blir måndag ser Oscar biljetter vid snöret;Ylva tillade att när det blir måndag Oscar ser biljetter vid snöret
EMBEDDED V3 CL.;Oscar påstod att när det blir vår ändrar Henning arbetsflödet under pärlan;Oscar påstod att när det blir vår Henning ändrar arbetsflödet under pärlan
EMBEDDED V3 CL.;Henning menade att när det blir höst slår Saga pengar över stämpeln;Henning menade att när det blir höst Saga slår pengar över stämpeln
EMBEDDED V3 CL.;Saga bedyrade att när det blir jul kastar Klas mynt efter skatten;Saga bedyrade att när det blir jul Klas kastar mynt efter skatten
EMBEDDED V3 CL.;Klas invände att när det blir möte hindrar Avdyl hästar på marken;Klas invände att när det blir möte Avdyl hindrar hästar på marken
EMBEDDED V3 OBJ.;Marta påstod att diamanter har Filip slipat sedan hon var liten;Marta påstod att diamanter Filip har slipat sedan hon var liten
EMBEDDED V3 OBJ.;Marta menade att knappar har John sytt sedan hon var liten;Marta menade att knappar John har sytt sedan hon var liten
EMBEDDED V3 OBJ.;Kajsa hävdade att tvättsvampar har Kina skapat sedan hon var tonåring;Kajsa hävdade att tvättsvampar Kina har skapat sedan hon var tonåring
EMBEDDED V3 OBJ.;Marta framhöll att kvällningen har Filip beundrat sedan hon var barn;Marta framhöll att kvällningen Filip har beundrat sedan hon var barn
EMBEDDED V3 OBJ.;Malin påstod att korvar har Nils stoppat sen hon var barn;Malin påstod att korvar Nils har stoppat sen hon var barn
EMBEDDED V3 OBJ.;Marta tillkännagav att artiklar har Filip skrivit sedan hon var minst tjugo;Marta tillkännagav att artiklar Filip har skrivit sedan hon var minst tjugo
EMBEDDED V3 OBJ.;Tjuren skrek att pannkaka har hönan stekt sedan den var kyckling;Tjuren skrek att pannkaka hönan har stekt sedan den var kyckling
EMBEDDED V3 OBJ.;Marta deklarerade att knappar har Maja sprättat sedan i fjol;Marta deklarerade att knappar Maja har sprättat sedan i fjol
EMBEDDED V3 OBJ.;Tjuvarna försäkrade att banker har kunderna rånat sedan i våras;Tjuvarna försäkrade att banker kunderna har rånat sedan i våras
EMBEDDED V3 OBJ.;Tanken inristade att spöket har människan förnekat sedan begynnelsen;Tanken inristade att spöket människan har förnekat sedan begynnelsen
EMBEDDED V3 OBJ.;Olle påstod att böcker har Lisa läst sedan hon var liten;Olle påstod att böcker Lisa har läst sedan hon var liten
EMBEDDED V3 OBJ.;Anna menade att mat har John kastat sedan han var liten;Anna menade att mat John har kastat sedan han var liten
EMBEDDED V3 OBJ.;Hanna hävdade att kossor har Nils matat sedan han var tonåring;Hanna hävdade att kossor Nils har matat sedan han var tonåring
EMBEDDED V3 OBJ.;Pelle framhöll att villor har Sonja sålt sedan hon var tjugo;Pelle framhöll att villor Sonja har sålt sedan hon var tjugo
EMBEDDED V3 OBJ.;Jakob påstod att hundar har Aron kvävt sedan solen gick upp;Jakob påstod att hundar Aron har kvävt sedan solen gick upp
EMBEDDED V3 OBJ.;Rebecka tillkännagav att vin har Klara druckit sedan hon var nitton;Rebecka tillkännagav att vin Klara har druckit sedan hon var nitton
EMBEDDED V3 OBJ.;Herrarna proklamerade att skog har företaget skövlat sedan flera år;Herrarna proklamerade att skog företaget har skövlat sedan flera år
EMBEDDED V3 OBJ.;Sara deklarerade att bågar har Julia spänt sedan i fjol;Sara deklarerade att bågar Julia har spänt sedan i fjol
EMBEDDED V3 OBJ.;Magnus menade att datorer har Elisabet förstått sedan barnsben;Magnus menade att datorer Elisabet har förstått sedan barnsben
EMBEDDED V3 OBJ.;Ormen bedyrade att ostar har råttor ätit sedan urminnes tider;Ormen bedyrade att ostar råttor har ätit sedan urminnes tider
EMBEDDED V3 OBJ.;Nils menade att marmeladburken har Ylva gillat sedan hon var liten;Nils menade att marmeladburken Ylva har gillat sedan hon var liten
EMBEDDED V3 OBJ.;Jonas invände att gardinen har Vive gillat sedan han var barn;Jonas invände att gardinen Vive har gillat sedan han var barn
EMBEDDED V3 OBJ.;Alf underströk att teckningar har Viola kastat sedan hon var spädbarn;Alf underströk att teckningar Viola har kastat sedan hon var spädbarn
EMBEDDED V3 OBJ.;Katrin påstod att skruvdragare har Uma köpt sedan hon var bebis;Katrin påstod att skruvdragare Uma har köpt sedan hon var bebis
EMBEDDED V3 OBJ.;Niklas poängterade att brickan har Ulla använt sedan hon var barn;Niklas poängterade att brickan Ulla har använt sedan hon var barn
EMBEDDED V3 OBJ.;Sara konstaterade att väskan har Tryggve sparat sedan han var ung;Sara konstaterade att väskan Tryggve har sparat sedan han var ung
EMBEDDED V3 OBJ.;Viola bekräftade att handsken har Torgny använt sedan han var ungdom;Viola bekräftade att handsken Torgny har använt sedan han var ungdom
EMBEDDED V3 OBJ.;Flora menade att snäckor har Tobias hittat sedan han var tonåring;Flora menade att snäckor Tobias har hittat sedan han var tonåring
EMBEDDED V3 OBJ.;Anna medgav att butiken har Tobias öppnat sedan han var tio;Anna medgav att butiken Tobias har öppnat sedan han var tio
EMBEDDED V3 OBJ.;Sofie upprepade att pärmar har Ted stängt sedan han var elva;Sofie upprepade att pärmar Ted har stängt sedan han var elva
EMBEDDED V3 OBJ.;Murat påpekade att tavlan har Sofie haft sedan hon var tolv;Murat påpekade att tavlan Sofie har haft sedan hon var tolv
EMBEDDED V3 OBJ.;Muhammed menade att pusslet har Sara lagt sedan hon var tretton;Muhammed menade att pusslet Sara har lagt sedan hon var tretton
EMBEDDED V3 OBJ.;Ahmed inflikade att kompassen har Sandra fattat sedan hon var fjorton;Ahmed inflikade att kompassen Sandra har fattat sedan hon var fjorton
EMBEDDED V3 OBJ.;Mats bedyrade att nappen har Saga provat sedan hon var femton;Mats bedyrade att nappen Saga har provat sedan hon var femton
EMBEDDED V3 OBJ.;Eva påstod att lådan har Rune gillat sedan han var sexton;Eva påstod att lådan Rune har gillat sedan han var sexton
EMBEDDED V3 OBJ.;Fredrik menade att sladden har Runar sökt sedan han var sjutton;Fredrik menade att sladden Runar har sökt sedan han var sjutton
EMBEDDED V3 OBJ.;Johan påpekade att ringen har Robert använt sedan han var arton;Johan påpekade att ringen Robert har använt sedan han var arton
EMBEDDED V3 OBJ.;Meriem påstod att skålen har Pontus kramat sedan han var liten;Meriem påstod att skålen Pontus har kramat sedan han var liten
EMBEDDED V3 OBJ.;Beata menade att soppan har Otis avskytt sedan han var barn;Beata menade att soppan Otis har avskytt sedan han var barn
EMBEDDED V3 OBJ.;Joakim bedyrade att trollkarlen har Oscar trott sedan han var spädbarn;Joakim bedyrade att trollkarlen Oscar har trott sedan han var spädbarn
EMBEDDED V3 OBJ.;Robert antydde att magen har Olle visat sedan han var bebis;Robert antydde att magen Olle har visat sedan han var bebis
EMBEDDED V3 OBJ.;Emanuel resonerade att leksaken har Nils gillat sedan han var barn;Emanuel resonerade att leksaken Nils har gillat sedan han var barn
EMBEDDED V3 OBJ.;Tobias påstod att flaskan har Niklas sparat sedan han var ung;Tobias påstod att flaskan Niklas har sparat sedan han var ung
EMBEDDED V3 OBJ.;Daniel menade att asken har Nicole behållit sedan hon var femton;Daniel menade att asken Nicole har behållit sedan hon var femton
EMBEDDED V3 OBJ.;Torgny menade att påsen har Nico använt sedan han var tonåring;Torgny menade att påsen Nico har använt sedan han var tonåring
EMBEDDED V3 OBJ.;Erik medgav att piskan har Nada förminskat sedan hon var tio;Erik medgav att piskan Nada har förminskat sedan hon var tio
EMBEDDED V3 OBJ.;Ulla kommenterade att pjäsen har Murat använt sedan han var elva;Ulla kommenterade att pjäsen Murat har använt sedan han var elva
EMBEDDED V3 OBJ.;Anders erkände att lampan har Muhammed saknat sedan han var tolv;Anders erkände att lampan Muhammed har saknat sedan han var tolv
EMBEDDED V3 OBJ.;Kristina påstod att motorn har Meriem använt sedan hon var tretton;Kristina påstod att motorn Meriem har använt sedan hon var tretton
EMBEDDED V3 OBJ.;Klara förtydligade att tröjan har Maude tvättat sedan hon var fjorton;Klara förtydligade att tröjan Maude har tvättat sedan hon var fjorton
EMBEDDED V3 OBJ.;Olle beskrev att svamp har Mats rensat sedan han var femton;Olle beskrev att svamp Mats har rensat sedan han var femton
EMBEDDED V3 OBJ.;Helga rapporterade att byråer har Maria tömt sedan hon var sexton;Helga rapporterade att byråer Maria har tömt sedan hon var sexton
EMBEDDED V3 OBJ.;Karl menade att tvålar har Majken fyllt sedan hon var sjutton;Karl menade att tvålar Majken har fyllt sedan hon var sjutton
EMBEDDED V3 OBJ.;Uma påstod att kaffe har Maj druckit sedan hon var arton;Uma påstod att kaffe Maj har druckit sedan hon var arton
EMBEDDED V3 OBJ.;Alba menade att kartan har Magdalena förstått sedan hon var liten;Alba menade att kartan Magdalena har förstått sedan hon var liten
EMBEDDED V3 OBJ.;Rune föreslog att parfym har Linn druckit sedan hon var barn;Rune föreslog att parfym Linn har druckit sedan hon var barn
EMBEDDED V3 OBJ.;Iris bestyrkte att spaden har Linda sparat sedan hon var spädbarn;Iris bestyrkte att spaden Linda har sparat sedan hon var spädbarn
EMBEDDED V3 OBJ.;Vive förutspådde att pengar har Kristina slösat sedan hon var bebis;Vive förutspådde att pengar Kristina har slösat sedan hon var bebis
EMBEDDED V3 OBJ.;Dick förutsåg att fioler har Kristin räddat sedan hon var småbarn;Dick förutsåg att fioler Kristin har räddat sedan hon var småbarn
EMBEDDED V3 OBJ.;Runar menade att lejon har Klas skadat sedan han var ung;Runar menade att lejon Klas har skadat sedan han var ung
EMBEDDED V3 OBJ.;Janice menade att stövlar har Klara ritat sedan hon var ung;Janice menade att stövlar Klara har ritat sedan hon var ung
EMBEDDED V3 OBJ.;Elias påstod att tokstollar har Kerstin mött sedan hon var tonåring;Elias påstod att tokstollar Kerstin har mött sedan hon var tonåring
EMBEDDED V3 OBJ.;Pontus påstod att pennan har Katrin träffat sedan hon var tio;Pontus påstod att pennan Katrin har träffat sedan hon var tio
EMBEDDED V3 OBJ.;Albin antog att kikare har Karl kastat sedan han var elva;Albin antog att kikare Karl har kastat sedan han var elva
EMBEDDED V3 OBJ.;Nico bedyrade att vispar har Josefin flyttat sedan hon var tolv;Nico bedyrade att vispar Josefin har flyttat sedan hon var tolv
EMBEDDED V3 OBJ.;Josefin påstod att skedar har Josef bokat sedan han var tretton;Josefin påstod att skedar Josef har bokat sedan han var tretton
EMBEDDED V3 OBJ.;Nicole påstod att grytor har Jonas diskat sedan han var fjorton;Nicole påstod att grytor Jonas har diskat sedan han var fjorton
EMBEDDED V3 OBJ.;Hanna inflikade att sleven har John använt sedan han var femton;Hanna inflikade att sleven John har använt sedan han var femton
EMBEDDED V3 OBJ.;Fanny inflikade att mattan har Johan gillat sedan han var sexton;Fanny inflikade att mattan Johan har gillat sedan han var sexton
EMBEDDED V3 OBJ.;Ida menade att djur har Joakim kastrerat sedan han var sjutton;Ida menade att djur Joakim har kastrerat sedan han var sjutton
EMBEDDED V3 OBJ.;Maj inflikade att stolen har Janice haft sedan hon var arton;Maj inflikade att stolen Janice har haft sedan hon var arton
EMBEDDED V3 OBJ.;Majken påstod att teorin har Iris förstått sedan hon var liten;Majken påstod att teorin Iris har förstått sedan hon var liten
EMBEDDED V3 OBJ.;Linn tillkännagav att pärlan har Ingrid anammat sedan hon var barn;Linn tillkännagav att pärlan Ingrid har anammat sedan hon var barn
EMBEDDED V3 OBJ.;Alexander menade att plankan har Inger använt sedan hon var spädbarn;Alexander menade att plankan Inger har använt sedan hon var spädbarn
EMBEDDED V3 OBJ.;Erika tillstod att vävstolar har Ida lackat sedan hon var bebis;Erika tillstod att vävstolar Ida har lackat sedan hon var bebis
EMBEDDED V3 OBJ.;Sandra bedyrade att spisen har Henning tvättat sedan han var småbarn;Sandra bedyrade att spisen Henning har tvättat sedan han var småbarn
EMBEDDED V3 OBJ.;Kristin framhöll att tavlan har Helga behållit sedan hon var ung;Kristin framhöll att tavlan Helga har behållit sedan hon var ung
EMBEDDED V3 OBJ.;Christine uttryckte att hyran har Helena betalat sedan hon var ung;Christine uttryckte att hyran Helena har betalat sedan hon var ung
EMBEDDED V3 OBJ.;Caroline fastslog att borsten har Hanna använt sedan hon var tonåring;Caroline fastslog att borsten Hanna har använt sedan hon var tonåring
EMBEDDED V3 OBJ.;Ingrid förkunnade att saxen har Freja bemästrat sedan hon var tio;Ingrid förkunnade att saxen Freja har bemästrat sedan hon var tio
EMBEDDED V3 OBJ.;Inger proklamerade att skivor har Fredrik släppt sedan hon var elva;Inger proklamerade att skivor  Fredrik har släppt sedan hon var elva
EMBEDDED V3 OBJ.;Aina deklarerade att dörrar har Flora skjutit sedan han var tolv;Aina deklarerade att dörrar Flora har skjutit sedan han var tolv
EMBEDDED V3 OBJ.;Ebba försäkrade att klockan har Fanny kunnat sedan hon var tretton;Ebba försäkrade att klockan Fanny har kunnat sedan hon var tretton
EMBEDDED V3 OBJ.;Ellen förklarade att nyckeln har Eva gillat sedan hon var fjorton;Ellen förklarade att nyckeln Eva har gillat sedan hon var fjorton
EMBEDDED V3 OBJ.;Helena förklarade att hyran har Erika betalat sedan hon var femton;Helena förklarade att hyran Erika har betalat sedan hon var femton
EMBEDDED V3 OBJ.;Kerstin påstod att vägar har Erik stängt sedan hon var sexton;Kerstin påstod att vägar Erik har stängt sedan hon var sexton
EMBEDDED V3 OBJ.;Adam menade att växlar har Emanuel snott sedan han var sjutton;Adam menade att växlar Emanuel har snott sedan han var sjutton
EMBEDDED V3 OBJ.;Magdalena hävdade att batterier har Ellen bytt sedan hon var arton;Magdalena hävdade att batterier Ellen har bytt sedan hon var arton
EMBEDDED V3 OBJ.;Alice påpekade att rätter har Elias valt sedan hon var liten;Alice påpekade att rätter Elias har valt sedan hon var liten
EMBEDDED V3 OBJ.;Josef påpekade att tomträtter har Ebba slängt sedan hon var barn;Josef påpekade att tomträtter Ebba har slängt sedan hon var barn
EMBEDDED V3 OBJ.;John påstod att skruvmejslar har Dick använt sedan han var spädbarn;John påstod att skruvmejslar Dick har använt sedan han var spädbarn
EMBEDDED V3 OBJ.;Christel hävdade att lås har Daniel knipsat sedan han var bebis;Christel hävdade att lås Daniel har knipsat sedan han var bebis
EMBEDDED V3 OBJ.;Ann-Katrin menade att ramar har Christine räknat sedan hon var småbarn;Ann-Katrin menade att ramar Christine har räknat sedan hon var småbarn
EMBEDDED V3 OBJ.;Anna-Lena svarade att tal har Christel beräknat sedan hon var ung;Anna-Lena svarade att tal Christel har beräknat sedan hon var ung
EMBEDDED V3 OBJ.;Nada berättade att skivan har Caroline gillat sedan hon var ungdom;Nada berättade att skivan Caroline har gillat sedan hon var ungdom
EMBEDDED V3 OBJ.;Linda förklarade att skyltar har Björn fotat sedan han var tonåring;Linda förklarade att skyltar Björn har fotat sedan han var tonåring
EMBEDDED V3 OBJ.;Maria invände att trummor har Beata filmat sedan hon var tio;Maria invände att trummor Beata har filmat sedan hon var tio
EMBEDDED V3 OBJ.;Ted antydde att skruvar har Anna-Lena printat sedan hon var elva;Ted antydde att skruvar Anna-Lena har printat sedan hon var elva
EMBEDDED V3 OBJ.;Tobias menade att klubban har Anna använt sedan hon var tolv;Tobias menade att klubban Anna har använt sedan hon var tolv
EMBEDDED V3 OBJ.;Björn konstaterade att växeln har Ann-Katrin sparat sedan hon var tretton;Björn konstaterade att växeln Ann-Katrin har sparat sedan hon var tretton
PARTICLE OBJ. ORDER;Lisa läste ut boken;Lisa läste boken ut
PARTICLE OBJ. ORDER;John slängde bort maten;John slängde maten bort
PARTICLE OBJ. ORDER;Hanna slog undan tallriken;Hanna slog tallriken undan
PARTICLE OBJ. ORDER;Niklas gav bort bläckfisken;Niklas gav bläckfisken bort
